Artist,Venue,Location,Date,Year,Price,With,Notes,Setlist,Img,HL,VHL,W
Katacombs,Wardrobe,Leeds,10-Apr,2026,,Solo,Support,,,0,0,0
Dave Hause,Wardrobe,Leeds,10-Apr,2026,,Solo,Support,,,0,0,0
Frank Turner,Wardrobe,Leeds,10-Apr,2026,35,Solo,,,,1,1,1
President,Project House,Leeds,17-Apr,2026,23.06,Katrina,,,,1,1,1
L.O.E,Brudenell Social Club (Main),,18-Apr,2026,,Katrina,Festival,,,0,0,0
Birdwitch,Brudenell Social Club (Main),,18-Apr,2026,,Katrina,Festival,,,0,0,0
As Living Arrows,Brudenell Social Club (Main),,18-Apr,2026,,Katrina,Festival,,,0,0,0
Forlorn,Brudenell Social Club (Main),,18-Apr,2026,,Katrina,Festival,,,0,0,0
Colossal Squid,Brudenell Social Club (Main),,18-Apr,2026,,Katrina,Festival,,,0,0,0
God Alone,Brudenell Social Club (Main),,18-Apr,2026,,Katrina,Festival,,,0,0,0
Knives,Brudenell Social Club (Main),,18-Apr,2026,,Katrina,Festival,,,0,0,0
Meryl Streek,Brudenell Social Club (Main),Leeds,18-Apr,2026,20.85,Katrina,Festival,,,1,1,1
The Sound of Modesty,Brudenell Social Club (Main),Leeds,18-Apr,2026,,Katrina,Festival,,,0,0,0
Peach,Brudenell Social Club (Main),Leeds,18-Apr,2026,,Katrina,Festival,,,0,0,0
Cowboyyy,Brudenell Social Club (Main),Leeds,18-Apr,2026,,Katrina,Festival,,,0,0,0
Tayne,Brudenell Social Club (Main),Leeds,18-Apr,2026,,Katrina,Festival,,,0,0,0
Shaking Hand,Brudenell Social Club (Main),Leeds,18-Apr,2026,,Katrina,Festival,,,0,0,0
Sugar Horse,Brudenell Social Club (Main),Leeds,19-Apr,2026,20.85,Katrina,Festival,,,1,1,1
Calva Louise,Hyde Park Book Club,Leeds,19-Apr,2026,16.15,Katrina,,,,1,1,1
The Howling,Social,Hull,20-Apr,2026,,Katrina,Support,,,0,0,0
Creeper,Social,Hull,20-Apr,2026,30.75,Katrina,,,,1,1,1
Clitspit,Wharf Chambers,Leeds,02-May,2026,,Katrina,Support,,,0,0,0
Self-Immolation Music,Wharf Chambers,Leeds,02-May,2026,,Katrina,Support,,,0,0,0
Thank,Wharf Chambers,Leeds,02-May,2026,8.38,Katrina,,,,1,1,1
Tame Impala,Live Arena,Manchester,08-May,2026,76.85,Katrina,,,,1,1,1
Florence Road,The Wardrobe,Leeds,16-May,2026,17.45,Katrina,,,,1,1,1
The Lemon Twigs,Brudenell Social Club (Main),Leeds,23-May,2026,28.5,Katrina,,,,1,1,1
Dimscûa,Manchester Academy 3,Manchester,24-May,2026,,Solo,Support,,,0,0,0
"Overhead, The Albatross",Manchester Academy 3,Manchester,24-May,2026,,Solo,Support,,,0,0,0
We Lost  the Sea,Manchester Academy 3,Manchester,24-May,2026,25.45,Solo,,,,1,1,1
Elder,Colchester Arts Centre,Colchester,14-Jun,2026,,Solo,Support,,,0,0,0
Blood Incantation,Colchester Arts Centre,Colchester,14-Jun,2026,33,Solo,,,,1,1,1
letlive.,Camden Underworld,London,16-Jun,2026,38.73,Solo,,,,1,1,1
letlive.,Camden Underworld,London,17-Jun,2026,40.2,Solo,,,,1,1,1
Pool Kids,Bowlers Exhibition Centre,Manchester,26-Jun,2026,,Solo,Festival,,,0,0,0
Free Throw,Bowlers Exhibition Centre,Manchester,26-Jun,2026,,Solo,Festival,,,0,0,0
Tigers Jaw,Bowlers Exhibition Centre,Manchester,26-Jun,2026,,Solo,Festival,,,0,0,0
Balance and Composure,Bowlers Exhibition Centre,Manchester,26-Jun,2026,,Solo,Festival,,,0,0,0
The Front Bottoms,Bowlers Exhibition Centre,Manchester,26-Jun,2026,45.8,Solo,Festival,,,1,1,1
Alexisonfire,Bowlers Exhibition Centre,Manchester,27-Jun,2026,92.6,Solo,Festival,,,1,1,1
Basement,Bowlers Exhibition Centre,Manchester,28-Jun,2026,92.6,Solo,Festival,,,1,1,1
Sprints,2000 Trees Festival,Upcote Farm,08-Jul,2026,,Katrina,Festival,,,0,0,0
The Dirty Nil,2000 Trees Festival,Upcote Farm,08-Jul,2026,44.55,Katrina,Festival,,,1,1,1
Alkaline Trio,2000 Trees Festival,Upcote Farm,09-Jul,2026,44.55,Katrina,Festival,,,1,1,1
Sans Froid,2000 Trees Festival,Upcote Farm,10-Jul,2026,,Katrina,Festival,,,0,0,0
Anthony Green,2000 Trees Festival,Upcote Farm,10-Jul,2026,44.55,Katrina,Festival,,,1,1,1
Heart Attack Man,2000 Trees Festival,Upcote Farm,11-Jul,2026,,Katrina,Festival,,,0,0,0
Dead Pioneers,2000 Trees Festival,Upcote Farm,11-Jul,2026,,Katrina,Festival,,,0,0,0
Glassjaw,2000 Trees Festival,Upcote Farm,11-Jul,2026,44.55,Katrina,Festival,,,1,1,1
Interpol,Ippodromo del Visarno,Florence,15-Jul,2026,,Katrina,Support,,,0,0,0
My Chemical Romance,Ippodromo del Visarno,Florence,15-Jul,2026,129.23,Katrina,,,,1,1,1
Cardiacs,ArcTanGent Festival,Fernhill Farm,19-Aug,2026,58.75,Katrina,Festival,,,1,1,1
Ronker,ArcTanGent Festival,Fernhill Farm,20-Aug,2026,,Katrina,Festival,,,0,0,0
Agent Fresco,ArcTanGent Festival,Fernhill Farm,20-Aug,2026,58.75,Katrina,Festival,,,1,1,1
Primus,ArcTanGent Festival,Fernhill Farm,21-Aug,2026,58.75,Katrina,Festival,,,1,1,1
Cult of Luna,ArcTanGent Festival,Fernhill Farm,22-Aug,2026,58.75,Katrina,Festival,,,1,1,1
Turnstile,Piece Hall,Halifax,26-Aug,2026,76.18,Katrina,,,,1,1,1
The Dear Hunter,Night and Day Cafe,Manchester,18-Sep,2026,20.2,Katrina,,,,1,1,1
The Dear Hunter,The Grove,Newcastle,20-Sep,2026,20.3,Katrina,,,,1,1,1
Exploring Birdsong,Gorilla,Manchester,26-Sep,2026,23.88,Katrina,,,,1,1,1
Cake,Roundhouse,London,01-Oct,2026,53.78,Katrina,,,,1,1,1
The Callous Daoboys,Hull Arena,Hull,15-Nov,2026,,Katrina,Support,,,0,0,0
Holding Absence,Hull Arena,Hull,15-Nov,2026,,Katrina,Support,,,0,0,0
Enter Shikari,Hull Arena,Hull,15-Nov,2026,61.87,Katrina,,,,1,1,1
Knoll,Boom (Canalside),Leeds,05-Dec,2026,,Katrina,Support,,,0,0,0
Imperial Triumphant,Boom (Canalside),Leeds,05-Dec,2026,26.73,Katrina,,,,1,1,1
